,0
acid-jazz,0.22200000000000006
alternative-rock,0.3890000000000001
americana,0.20099999999999996
blaxpoitation,0.18999999999999995
bluegrass,0.2419999999999999
blues-rock,0.3200000000000002
bossa-nova,0.28400000000000014
breakbeat,0.3250000000000002
chill-out,0.3270000000000002
classic-ambient,0.2590000000000001
classical,0.4650000000000002
contemporary-classical,0.5180000000000001
contemporary-folk,0.31300000000000017
contemporary-jazz,0.29700000000000015
contemporary-pop,0.29100000000000015
contemporary-rnb,0.3360000000000002
country-blues,0.2759999999999999
country-folk,0.30200000000000016
country-pop,0.2630000000000001
country-rock,0.28000000000000014
drones,0.41000000000000014
drum-n-bass,0.2680000000000001
dubstep,0.31600000000000017
easy-listening,0.3460000000000001
edm,0.3740000000000001
electro,0.20099999999999996
electro-rock,0.29900000000000015
electronica,0.3830000000000001
film-score,0.44100000000000017
folk-rock,0.3330000000000002
funk-rock,0.24400000000000008
garage-rock,0.27200000000000013
gospel,0.2480000000000001
hard-rock,0.40800000000000014
heavy-metal,0.44000000000000017
hip-hop,0.40400000000000014
house,0.3810000000000001
indie-folk,0.27100000000000013
indie-pop,0.3280000000000002
indie-rock,0.3790000000000001
jazz-blues,0.21699999999999994
jazz-funk,0.31500000000000017
jazz-fusion,0.2530000000000001
latin-jazz,0.20599999999999996
latin-pop,0.23800000000000007
lounge,0.30500000000000016
mariachi,0.18199999999999997
medieval,0.14999999999999997
military-march,0.3240000000000002
national-anthem,0.30000000000000016
new-wave,0.08900000000000001
nu-disco,0.20799999999999996
nursery-rhyme,0.09000000000000001
opera,0.44400000000000006
orchestral-electronics,0.27900000000000014
orchestral-hybrid,0.3660000000000001
orchestral-pop,0.16899999999999998
power-pop,0.14699999999999996
prog-rock,0.16099999999999998
punk-rock,0.3210000000000002
ragga,0.115
rap,0.29400000000000015
reggaeton,0.13599999999999998
regular-blues,0.3490000000000002
regular-country,0.2580000000000001
regular-disco,0.28700000000000014
regular-funk,0.3400000000000001
regular-jazz,0.28100000000000014
regular-reggae,0.2600000000000001
rhythm-and-blues,0.23300000000000007
rock-&-roll,0.27600000000000013
rock-fusion,0.07200000000000001
rumba,0.11900000000000001
salsa,0.31300000000000017
samba,0.15099999999999997
ska,0.18199999999999997
skate-punk,0.23900000000000007
soul,0.2580000000000001
surf-rock,0.18499999999999994
tango,0.24699999999999991
techno,0.28700000000000014
traditional-folk,0.3520000000000001
trance,0.24400000000000008
trap,0.3400000000000001
trip-hop,0.27300000000000013
uptown-soul,0.18999999999999995
vintage-jazz,0.4760000000000001
world,0.3230000000000002
world-filmi,0.10400000000000001
world-fusion,0.2659999999999999
a-cappella,0.5720000000000002
accordion,0.39800000000000013
acoustic-guitar,0.45000000000000007
african-percussions,0.29500000000000015
banjo,0.3630000000000002
bass-guitar,0.4800000000000001
bassoon,0.3700000000000002
bell-tree,0.22799999999999995
bells,0.16999999999999998
big-band,0.42600000000000016
brass-section,0.4630000000000001
cello,0.28900000000000015
chamber-orchestra,0.3520000000000001
children-choir,0.28500000000000014
children-vocals,0.168
chimes,0.19599999999999995
choir,0.3870000000000001
clarinet,0.3690000000000001
clavinet,0.2620000000000001
congas,0.24399999999999994
country-band,0.3480000000000001
cymbals,0.21999999999999995
dobro,0.3900000000000001
double-bass,0.3210000000000002
drum-kick,0.136
drum-kit,0.4980000000000001
drum-machine,0.44100000000000017
duo,0.24200000000000008
electric-guitar,0.4910000000000001
ethnic-band,0.27200000000000013
ethnic-voices,0.31100000000000017
female-choir,0.2590000000000001
female-vocals,0.42900000000000016
fender-rhodes,0.24700000000000008
finger-snaps,0.11000000000000001
flute,0.3600000000000002
folk-group,0.31800000000000006
french-horn,0.2570000000000001
glockenspiel,0.3490000000000002
hammond,0.3280000000000002
handclaps,0.27800000000000014
harmonica,0.29200000000000015
harp,0.3660000000000001
harpsichord,0.24000000000000007
honky-tonk-piano,0.4800000000000001
jazz-ensemble,0.43900000000000017
kodo-taiko,0.32200000000000006
latin-band,0.4710000000000002
latin-percussions,0.30700000000000016
male-choir,0.21299999999999997
male-crooner,0.3690000000000001
male-vocals,0.43900000000000017
mandolin,0.3220000000000002
marching-band,0.4490000000000002
marimba,0.3300000000000002
melodica,0.24000000000000007
military-drums,0.2509999999999999
music-box,0.28200000000000014
oboe,0.3200000000000002
onomatopea,0.27600000000000013
orchestral-percussion,0.40300000000000014
organ,0.2470000000000001
panpipes,0.15999999999999998
pedal-steel-guitar,0.3450000000000002
percussion-ensemble,0.28600000000000014
piano,0.42900000000000016
piccolo-flute,0.3320000000000001
pizzicati,0.42000000000000015
pop-band,0.3300000000000002
rap-vocals,0.3500000000000001
recorder,0.3780000000000001
rock-band,0.4820000000000001
saxophone,0.3720000000000001
shaker,0.31300000000000017
shouting-samples,0.2630000000000001
sitar,0.2539999999999999
sleigh-bell,0.20800000000000005
slide-guitar,0.2620000000000001
snare-drum,0.29100000000000015
solo,0.3840000000000001
steel-drums,0.11300000000000002
steel-guitar,0.27600000000000013
strings-section,0.41000000000000014
symphony-orchestra,0.5590000000000002
synth-bass,0.42700000000000016
synth-pad,0.3600000000000002
synth-strings,0.21799999999999994
synthesizer,0.4520000000000002
synthetic-voices,0.20899999999999996
tabla,0.26900000000000013
tambourine,0.27400000000000013
tenor-saxophone,0.27000000000000013
timpani,0.29100000000000015
triangle,0.23599999999999993
trombone,0.3910000000000001
trumpet,0.31600000000000017
tuba,0.42400000000000015
tubular-bells,0.15099999999999997
turntables,0.3370000000000002
ukulele,0.44200000000000017
vibraphone,0.31400000000000017
viola,0.24299999999999994
violin,0.3440000000000002
vocal,0.3750000000000001
vocal-duet,0.13699999999999998
vocoder,0.10600000000000002
wah-wah,0.29500000000000015
whistle,0.29400000000000015
