,0
acid-jazz,0.10600000000000002
alternative-rock,0.22000000000000006
americana,0.08600000000000002
blaxpoitation,0.08900000000000001
bluegrass,0.172
blues-rock,0.14699999999999996
bossa-nova,0.28400000000000014
breakbeat,0.17099999999999999
chill-out,0.19999999999999996
classic-ambient,0.156
classical,0.39600000000000013
contemporary-classical,0.41800000000000015
contemporary-folk,0.21199999999999997
contemporary-jazz,0.15299999999999997
contemporary-pop,0.16699999999999998
contemporary-rnb,0.21099999999999997
country-blues,0.08700000000000001
country-folk,0.134
country-pop,0.132
country-rock,0.18199999999999997
drones,0.41000000000000014
drum-n-bass,0.15799999999999997
dubstep,0.29700000000000015
easy-listening,0.2660000000000001
edm,0.19099999999999995
electro,0.01999999999999999
electro-rock,0.173
electronica,0.29000000000000015
film-score,0.39500000000000013
folk-rock,0.21699999999999997
funk-rock,0.13299999999999998
garage-rock,0.09400000000000001
gospel,0.2480000000000001
hard-rock,0.2579999999999999
heavy-metal,0.21000000000000005
hip-hop,0.2580000000000001
house,0.22299999999999995
indie-folk,0.14100000000000001
indie-pop,0.143
indie-rock,0.2599999999999999
jazz-blues,0.133
jazz-funk,0.146
jazz-fusion,0.158
latin-jazz,0.061000000000000006
latin-pop,0.09400000000000001
lounge,0.19099999999999995
mariachi,0.18199999999999997
medieval,0.14999999999999997
military-march,0.23099999999999996
national-anthem,0.30000000000000016
new-wave,0.01999999999999999
nu-disco,0.09600000000000002
nursery-rhyme,0.07600000000000001
opera,0.4440000000000002
orchestral-electronics,0.17099999999999999
orchestral-hybrid,0.3520000000000002
orchestral-pop,0.047000000000000014
power-pop,0.034
prog-rock,0.031
punk-rock,0.22899999999999995
ragga,0.09500000000000001
rap,0.15999999999999998
reggaeton,0.13599999999999998
regular-blues,0.3300000000000002
regular-country,0.12200000000000001
regular-disco,0.11000000000000001
regular-funk,0.22499999999999995
regular-jazz,0.12200000000000001
regular-reggae,0.2599999999999999
rhythm-and-blues,0.131
rock-&-roll,0.13
rock-fusion,0.04000000000000001
rumba,0.03700000000000001
salsa,0.20899999999999996
samba,0.10400000000000002
ska,0.12200000000000001
skate-punk,0.10500000000000002
soul,0.15699999999999997
surf-rock,0.11000000000000001
tango,0.24699999999999991
techno,0.16999999999999998
traditional-folk,0.29100000000000015
trance,0.11300000000000002
trap,0.15899999999999997
trip-hop,0.147
uptown-soul,0.09500000000000001
vintage-jazz,0.40000000000000013
world,0.20199999999999996
world-filmi,0.04800000000000001
world-fusion,0.12400000000000001
a-cappella,0.5460000000000002
accordion,0.39800000000000013
acoustic-guitar,0.41100000000000014
african-percussions,0.15799999999999997
banjo,0.26900000000000013
bass-guitar,0.40000000000000013
bassoon,0.27000000000000013
bell-tree,0.142
bells,0.12300000000000001
big-band,0.3690000000000001
brass-section,0.4500000000000002
cello,0.24099999999999994
chamber-orchestra,0.26900000000000013
children-choir,0.28500000000000014
children-vocals,0.168
chimes,0.177
choir,0.3870000000000001
clarinet,0.31200000000000017
clavinet,0.08600000000000001
congas,0.14399999999999996
country-band,0.20699999999999996
cymbals,0.10600000000000001
dobro,0.3470000000000002
double-bass,0.2559999999999999
drum-kick,0.07800000000000001
drum-kit,0.4800000000000001
drum-machine,0.3650000000000001
duo,0.11900000000000001
electric-guitar,0.4910000000000001
ethnic-band,0.15399999999999997
ethnic-voices,0.20699999999999996
female-choir,0.10000000000000002
female-vocals,0.3800000000000001
fender-rhodes,0.18899999999999995
finger-snaps,0.04700000000000001
flute,0.24600000000000008
folk-group,0.28500000000000014
french-horn,0.14200000000000002
glockenspiel,0.23700000000000007
hammond,0.22099999999999995
handclaps,0.23199999999999996
harmonica,0.29200000000000015
harp,0.27900000000000014
harpsichord,0.3730000000000001
honky-tonk-piano,0.4800000000000001
jazz-ensemble,0.3520000000000001
kodo-taiko,0.2560000000000001
latin-band,0.28900000000000015
latin-percussions,0.21799999999999997
male-choir,0.21299999999999997
male-crooner,0.21899999999999994
male-vocals,0.3730000000000001
mandolin,0.19299999999999995
marching-band,0.3590000000000001
marimba,0.23300000000000007
melodica,0.058
military-drums,0.23299999999999996
music-box,0.11500000000000002
oboe,0.21999999999999995
onomatopea,0.2759999999999999
orchestral-percussion,0.29200000000000015
organ,0.31000000000000016
panpipes,0.045000000000000005
pedal-steel-guitar,0.30400000000000016
percussion-ensemble,0.18899999999999995
piano,0.42500000000000016
piccolo-flute,0.09400000000000001
pizzicati,0.3480000000000001
pop-band,0.22700000000000006
rap-vocals,0.18599999999999997
recorder,0.5800000000000002
rock-band,0.43700000000000017
saxophone,0.3720000000000002
shaker,0.115
shouting-samples,0.15999999999999998
sitar,0.18499999999999997
sleigh-bell,0.19199999999999995
slide-guitar,0.15
snare-drum,0.15999999999999998
solo,0.3830000000000001
steel-drums,0.10400000000000002
steel-guitar,0.03300000000000001
strings-section,0.3600000000000001
symphony-orchestra,0.43000000000000005
synth-bass,0.3210000000000002
synth-pad,0.2440000000000001
synth-strings,0.10300000000000002
synthesizer,0.3610000000000001
synthetic-voices,0.09300000000000001
tabla,0.26900000000000013
tambourine,0.18399999999999997
tenor-saxophone,0.18599999999999994
timpani,0.20999999999999996
triangle,0.10000000000000002
trombone,0.27400000000000013
trumpet,0.29500000000000015
tuba,0.23299999999999996
tubular-bells,0.061000000000000006
turntables,0.24699999999999994
ukulele,0.3600000000000001
vibraphone,0.19999999999999996
viola,0.09400000000000001
violin,0.3230000000000002
vocal,0.3760000000000001
vocal-duet,0.08800000000000001
vocoder,0.016999999999999994
wah-wah,0.14999999999999997
whistle,0.144
whistling,0.4700000000000002
woodwinds-ensemble,0.20299999999999996
wurlitzer-organ,0.08600000000000001
xylophone,0.20199999999999996
adventurous,0.12300000000000001
afraid,0.12100000000000001
aggressive,0.22899999999999995
anxious,0.20599999999999996
carefree,0.22899999999999995
cautious,0.065
confident,0.30000000000000016
creepy,0.129
dangerous,0.10300000000000002
driving,0.21999999999999995
epic,0.28800000000000014
euphoric,0.08500000000000002
exciting,0.15399999999999997
fragile,0.17099999999999999
funny,0.19299999999999995
happy,0.26900000000000013
hate,0.11200000000000002
heartfelt,0.18499999999999997
hopeful,0.131
hot,0.08600000000000001
inspirational,0.19099999999999995
joyful,0.20899999999999996
majestic,0.23099999999999996
moody,0.07400000000000001
motivational,0.10200000000000002
mysterious,0.159
optimistic,0.29400000000000015
playful,0.21099999999999997
poignant,0.10500000000000002
quiet,0.148
rebellion,0.177
reflective,0.21199999999999997
relaxed,0.28300000000000014
romantic,0.2660000000000001
sad,0.20499999999999996
seductive,0.18699999999999994
serious,0.11400000000000002
sexy,0.135
sinister,0.2589999999999999
sneaky,0.067
spectacular,0.18299999999999997
suspenseful,0.16699999999999998
togetherness,0.03200000000000001
uplifting,0.21599999999999994
victorious,0.12000000000000001
warm,0.2509999999999999
